ProductID,ProductName,Category,Brand,MRP,DiscountPercent,SellingPrice,CostPrice
55,Sneakers,Fashion,Adidas,955,17,792.65,593.01
56,Serum,Beauty,L'Oreal,927,22,723.06,506.08
57,Track Pants,Fashion,Adidas,5917,19,4792.77,3769.86
58,Slim Jeans,Fashion,Levis,4701,32,3196.68,2384.3
59,Running Shoes,Fashion,Nike,1199,32,815.32,524.27
60,Face Wash,Beauty,Lakme,2500,17,2075.0,1439.96
61,Serum,Beauty,L'Oreal,1479,12,1301.52,812.12
62,Slim Jeans,Fashion,Levis,3560,34,2349.6,1591.25
63,Sneakers,Fashion,Adidas,2296,33,1538.32,995.47
64,Slim Jeans,Fashion,Levis,2890,18,2369.8,1423.69
65,Cooking Oil,Grocery,Fortune,749,34,494.34,362.99
66,Face Wash,Beauty,Lakme,745,14,640.7,488.63
67,Atta,Grocery,Aashirvaad,576,20,460.8,333.99
68,Cooking Oil,Grocery,Fortune,850,34,561.0,391.37
69,Atta,Grocery,Aashirvaad,620,7,576.6,382.71
70,Track Pants,Fashion,Adidas,1368,7,1272.24,854.68
71,Track Pants,Fashion,Adidas,615,19,498.15,362.08
72,Sneakers,Fashion,Adidas,2456,10,2210.4,1341.94
73,HP Pavilion Laptop,Electronics,HP,50686,31,34973.34,22178.46
74,Mixer Grinder,Home,Philips,11021,31,7604.49,5644.9
75,Cooking Oil,Grocery,Fortune,868,8,798.56,605.2
76,Sports T-Shirt,Fashion,Nike,2376,18,1948.32,1320.0
77,Tea,Grocery,Tata,518,33,347.06,215.85
78,Cookware Set,Home,Prestige,13393,24,10178.68,6999.53
79,HP Pavilion Laptop,Electronics,HP,113164,17,93926.12,65554.18
80,Face Wash,Beauty,Lakme,2435,10,2191.5,1493.29
81,Shampoo,Beauty,L'Oreal,422,19,341.82,219.8
82,Running Shoes,Fashion,Nike,4203,7,3908.79,2867.32
83,Sports T-Shirt,Fashion,Nike,1510,29,1072.1,776.42
84,Cookware Set,Home,Prestige,10440,31,7203.6,4902.92
85,Sneakers,Fashion,Adidas,1395,30,976.5,669.65
86,Sneakers,Fashion,Adidas,5039,31,3476.91,2266.19
87,Water Bottle,Home,Milton,12541,7,11663.13,8921.3
88,Cooking Oil,Grocery,Fortune,381,14,327.66,232.11
89,Galaxy S25,Electronics,Samsung,114886,8,105695.12,66094.37
90,Cookware Set,Home,Prestige,14857,12,13074.16,9073.22
91,WH-1000XM5 Headphones,Electronics,Sony,139649,19,113115.69,78819.91
92,Face Wash,Beauty,Lakme,2472,30,1730.4,1072.19
93,Slim Jeans,Fashion,Levis,5381,21,4250.99,2749.28
94,Tea,Grocery,Tata,655,20,524.0,407.4
95,Atta,Grocery,Aashirvaad,563,18,461.66,360.65
96,Lipstick,Beauty,Lakme,1494,7,1389.42,856.07
97,Slim Jeans,Fashion,Levis,1045,5,992.75,712.34
98,Galaxy Buds,Electronics,Samsung,47553,20,38042.4,26532.05
99,Cookware Set,Home,Prestige,3631,24,2759.56,1968.56
100,Tea,Grocery,Tata,552,18,452.64,336.34
101,Mixer Grinder,Home,Philips,7406,29,5258.26,4044.58
102,Face Wash,Beauty,Lakme,2905,18,2382.1,1796.74
103,Mixer Grinder,Home,Philips,1925,13,1674.75,1314.48
104,Sneakers,Fashion,Adidas,4479,26,3314.46,2395.32
105,Face Wash,Beauty,Lakme,353,34,232.98,161.12
106,Mixer Grinder,Home,Philips,7067,18,5794.94,3777.62
107,Tea,Grocery,Tata,584,18,478.88,290.02
108,Serum,Beauty,L'Oreal,682,12,600.16,369.65
109,HP Pavilion Laptop,Electronics,HP,111116,34,73336.56,55420.12
110,Slim Jeans,Fashion,Levis,1675,24,1273.0,841.12
111,Galaxy Buds,Electronics,Samsung,100987,32,68671.16,46842.71
112,Tea,Grocery,Tata,127,26,93.98,61.28
113,Atta,Grocery,Aashirvaad,617,7,573.81,351.0
114,Cookware Set,Home,Prestige,14680,23,11303.6,8665.04
115,Lipstick,Beauty,Lakme,2827,17,2346.41,1801.01
116,Sneakers,Fashion,Adidas,2357,20,1885.6,1252.93
117,Shampoo,Beauty,L'Oreal,830,35,539.5,343.64
118,Mixer Grinder,Home,Philips,8392,22,6545.76,4286.29
119,Cookware Set,Home,Prestige,5140,32,3495.2,2136.0
120,Atta,Grocery,Aashirvaad,883,15,750.55,539.65
121,Serum,Beauty,L'Oreal,422,30,295.4,185.76
122,HP Pavilion Laptop,Electronics,HP,19292,28,13890.24,9246.15
123,Lipstick,Beauty,Lakme,1890,19,1530.9,1206.89
124,WH-1000XM5 Headphones,Electronics,Sony,137806,24,104732.56,69505.01
125,Sneakers,Fashion,Adidas,5686,22,4435.08,3100.5
126,Face Wash,Beauty,Lakme,2887,31,1992.03,1451.35
127,HP Pavilion Laptop,Electronics,HP,136941,18,112291.62,73184.99
128,Cooking Oil,Grocery,Fortune,936,29,664.56,474.8
129,Bravia TV,Electronics,Sony,111354,14,95764.44,60641.49
130,Face Wash,Beauty,Lakme,1000,17,830.0,558.73
131,Lipstick,Beauty,Lakme,1945,6,1828.3,1115.42
132,Slim Jeans,Fashion,Levis,1743,18,1429.26,1052.3
133,Serum,Beauty,L'Oreal,2642,24,2007.92,1267.74
134,Mixer Grinder,Home,Philips,4257,32,2894.76,1897.82
135,HP Pavilion Laptop,Electronics,HP,87172,21,68865.88,50648.47
136,HP Pavilion Laptop,Electronics,HP,108130,8,99479.6,65632.86
137,Atta,Grocery,Aashirvaad,758,7,704.94,542.48
138,Slim Jeans,Fashion,Levis,4909,19,3976.29,2982.68
139,Water Bottle,Home,Milton,3292,34,2172.72,1379.11
140,Cooking Oil,Grocery,Fortune,547,5,519.65,382.29
141,Serum,Beauty,L'Oreal,490,22,382.2,258.91
142,Lipstick,Beauty,Lakme,2668,6,2507.92,1632.13
143,Atta,Grocery,Aashirvaad,193,27,140.89,105.17
144,Track Pants,Fashion,Adidas,5696,20,4556.8,2826.12
145,Sneakers,Fashion,Adidas,5306,11,4722.34,3706.06
146,Atta,Grocery,Aashirvaad,771,7,717.03,451.82
147,Cooking Oil,Grocery,Fortune,393,11,349.77,253.85
148,Lipstick,Beauty,Lakme,1936,18,1587.52,1080.51
149,Slim Jeans,Fashion,Levis,3987,22,3109.86,2421.4
150,Water Bottle,Home,Milton,14305,32,9727.4,7300.31
151,Galaxy Buds,Electronics,Samsung,94829,30,66380.3,43860.75
152,AirPods Pro,Electronics,Apple,39199,25,29399.25,18413.47
153,Bravia TV,Electronics,Sony,48555,30,33988.5,22947.88
154,WH-1000XM5 Headphones,Electronics,Sony,74660,28,53755.2,33879.55
155,Cookware Set,Home,Prestige,11077,13,9636.99,5906.74
156,WH-1000XM5 Headphones,Electronics,Sony,43755,32,29753.4,20954.99
157,Water Bottle,Home,Milton,12478,18,10231.96,7176.66
158,Atta,Grocery,Aashirvaad,774,26,572.76,372.55
159,Tea,Grocery,Tata,209,17,173.47,105.04
160,WH-1000XM5 Headphones,Electronics,Sony,108791,13,94648.17,75587.25
161,Sneakers,Fashion,Adidas,5081,8,4674.52,2903.34
162,Running Shoes,Fashion,Nike,2981,13,2593.47,1845.82
163,Mixer Grinder,Home,Philips,7434,21,5872.86,3562.67
164,Cooking Oil,Grocery,Fortune,324,34,213.84,151.6
165,Tea,Grocery,Tata,387,31,267.03,203.41
166,Track Pants,Fashion,Adidas,4506,6,4235.64,3238.8
167,Shampoo,Beauty,L'Oreal,2345,27,1711.85,1126.29
168,Running Shoes,Fashion,Nike,4933,7,4587.69,3400.57
169,Mixer Grinder,Home,Philips,3416,24,2596.16,1913.67
170,Tea,Grocery,Tata,795,30,556.5,432.32
171,Mixer Grinder,Home,Philips,6760,7,6286.8,4179.79
172,iPhone 16,Electronics,Apple,61371,20,49096.8,31990.51
173,Tea,Grocery,Tata,177,30,123.9,78.06
174,HP Pavilion Laptop,Electronics,HP,17538,6,16485.72,12178.35
175,Water Bottle,Home,Milton,7827,34,5165.82,3195.82
176,Serum,Beauty,L'Oreal,766,27,559.18,356.58
177,Serum,Beauty,L'Oreal,1464,33,980.88,668.67
178,Atta,Grocery,Aashirvaad,904,15,768.4,531.21
179,Face Wash,Beauty,Lakme,691,24,525.16,391.39
180,Bravia TV,Electronics,Sony,101916,17,84590.28,51053.48
181,Sports T-Shirt,Fashion,Nike,3824,29,2715.04,2076.57
182,Lipstick,Beauty,Lakme,1153,8,1060.76,713.72
183,Sports T-Shirt,Fashion,Nike,774,12,681.12,439.58
184,Track Pants,Fashion,Adidas,4465,34,2946.9,2051.28
185,Tea,Grocery,Tata,616,25,462.0,328.48
186,Cookware Set,Home,Prestige,7461,35,4849.65,3194.67
187,AirPods Pro,Electronics,Apple,25403,5,24132.85,16747.46
188,Slim Jeans,Fashion,Levis,4558,10,4102.2,2605.69
189,Cooking Oil,Grocery,Fortune,168,15,142.8,109.79
190,Mixer Grinder,Home,Philips,4730,11,4209.7,3357.87
191,Atta,Grocery,Aashirvaad,876,33,586.92,361.16
192,iPhone 16,Electronics,Apple,97846,31,67513.74,47156.29
193,Bravia TV,Electronics,Sony,65480,35,42562.0,33478.63
194,Shampoo,Beauty,L'Oreal,2763,20,2210.4,1451.96
195,Face Wash,Beauty,Lakme,1052,17,873.16,681.03
196,Lipstick,Beauty,Lakme,2277,17,1889.91,1406.71
197,Cookware Set,Home,Prestige,4625,26,3422.5,2108.25
198,Bravia TV,Electronics,Sony,101339,18,83097.98,54329.78
199,HP Pavilion Laptop,Electronics,HP,20906,18,17142.92,13540.71
200,Lipstick,Beauty,Lakme,305,16,256.2,168.83
201,Cookware Set,Home,Prestige,6558,8,6033.36,3952.98
202,Sneakers,Fashion,Adidas,4236,9,3854.76,2574.23
203,Slim Jeans,Fashion,Levis,802,6,753.88,539.97
204,Slim Jeans,Fashion,Levis,2781,32,1891.08,1427.55
205,HP Pavilion Laptop,Electronics,HP,38991,16,32752.44,21956.99
206,Track Pants,Fashion,Adidas,2483,8,2284.36,1693.94
207,Lipstick,Beauty,Lakme,626,15,532.1,333.33
208,Tea,Grocery,Tata,888,18,728.16,545.5
209,Sneakers,Fashion,Adidas,5233,23,4029.41,2816.79
210,Mixer Grinder,Home,Philips,6463,8,5945.96,3844.19
211,Galaxy Buds,Electronics,Samsung,149177,18,122325.14,92230.24
212,Cooking Oil,Grocery,Fortune,390,24,296.4,195.32
213,Running Shoes,Fashion,Nike,6000,30,4200.0,2916.78
214,Serum,Beauty,L'Oreal,1435,15,1219.75,792.65
215,Mixer Grinder,Home,Philips,4654,9,4235.14,2656.87
216,Mixer Grinder,Home,Philips,1612,18,1321.84,800.65
217,Running Shoes,Fashion,Nike,1021,29,724.91,524.71
218,WH-1000XM5 Headphones,Electronics,Sony,42693,28,30738.96,19622.74
219,WH-1000XM5 Headphones,Electronics,Sony,80316,6,75497.04,48995.21
220,Cookware Set,Home,Prestige,2181,15,1853.85,1206.81
221,Lipstick,Beauty,Lakme,1690,16,1419.6,1013.07
222,Sneakers,Fashion,Adidas,5609,10,5048.1,4013.11
223,HP Pavilion Laptop,Electronics,HP,80044,7,74440.92,54651.57
224,Shampoo,Beauty,L'Oreal,2691,31,1856.79,1362.73
225,Cookware Set,Home,Prestige,2648,25,1986.0,1391.83
226,Shampoo,Beauty,L'Oreal,2333,8,2146.36,1613.08
227,Tea,Grocery,Tata,977,25,732.75,503.26
228,Bravia TV,Electronics,Sony,15178,28,10928.16,7823.64
229,Atta,Grocery,Aashirvaad,605,28,435.6,300.48
230,HP Pavilion Laptop,Electronics,HP,27964,35,18176.6,12242.25
231,WH-1000XM5 Headphones,Electronics,Sony,82194,13,71508.78,54281.55
232,MacBook Air M3,Electronics,Apple,74467,26,55105.58,43863.58
233,Galaxy S25,Electronics,Samsung,50822,27,37100.06,28390.04
234,Lipstick,Beauty,Lakme,837,19,677.97,429.19
235,Shampoo,Beauty,L'Oreal,1108,21,875.32,626.38
236,Track Pants,Fashion,Adidas,3976,25,2982.0,1956.2
237,Tea,Grocery,Tata,237,27,173.01,134.9
238,Sneakers,Fashion,Adidas,4374,20,3499.2,2551.35
239,Sports T-Shirt,Fashion,Nike,4121,7,3832.53,2591.06
240,Cooking Oil,Grocery,Fortune,828,16,695.52,434.26
241,Serum,Beauty,L'Oreal,750,17,622.5,378.48
242,Face Wash,Beauty,Lakme,1654,16,1389.36,984.07
243,Lipstick,Beauty,Lakme,1100,34,726.0,474.48
244,Cookware Set,Home,Prestige,4981,28,3586.32,2594.21
245,Shampoo,Beauty,L'Oreal,2689,29,1909.19,1440.7
246,iPhone 16,Electronics,Apple,66486,33,44545.62,27214.36
247,Atta,Grocery,Aashirvaad,804,31,554.76,434.89
248,Sports T-Shirt,Fashion,Nike,1329,33,890.43,697.81
249,Water Bottle,Home,Milton,6340,35,4121.0,2548.0
250,Cooking Oil,Grocery,Fortune,910,26,673.4,417.5
251,Galaxy Buds,Electronics,Samsung,143610,25,107707.5,82182.74
252,Running Shoes,Fashion,Nike,4080,15,3468.0,2727.24
253,Slim Jeans,Fashion,Levis,513,6,482.22,376.41
254,Shampoo,Beauty,L'Oreal,239,16,200.76,130.73
255,Face Wash,Beauty,Lakme,1207,32,820.76,644.84
256,Atta,Grocery,Aashirvaad,604,34,398.64,269.52
257,Water Bottle,Home,Milton,5653,32,3844.04,2466.99
258,Sneakers,Fashion,Adidas,1696,33,1136.32,880.85
259,Slim Jeans,Fashion,Levis,3653,13,3178.11,2398.67
260,Cooking Oil,Grocery,Fortune,631,26,466.94,309.2
261,Lipstick,Beauty,Lakme,1685,14,1449.1,1021.04
262,Cooking Oil,Grocery,Fortune,528,33,353.76,227.28
263,Shampoo,Beauty,L'Oreal,1874,10,1686.6,1234.99
264,Tea,Grocery,Tata,939,20,751.2,585.88
265,Sneakers,Fashion,Adidas,3485,10,3136.5,2013.64
266,Sports T-Shirt,Fashion,Nike,3923,9,3569.93,2464.76
267,Sneakers,Fashion,Adidas,4488,5,4263.6,2617.31
268,AirPods Pro,Electronics,Apple,82516,6,77565.04,53916.83
269,Tea,Grocery,Tata,183,9,166.53,115.87
270,Shampoo,Beauty,L'Oreal,459,20,367.2,258.07
271,Serum,Beauty,L'Oreal,1040,13,904.8,552.49
272,Face Wash,Beauty,Lakme,2163,27,1578.99,1075.06
273,Mixer Grinder,Home,Philips,14835,20,11868.0,9231.79
274,Track Pants,Fashion,Adidas,4395,31,3032.55,1905.4
275,Galaxy Tab,Electronics,Samsung,124223,33,83229.41,51977.02
276,Tea,Grocery,Tata,750,17,622.5,465.8
277,iPhone 16,Electronics,Apple,58637,15,49841.45,34720.86
278,Running Shoes,Fashion,Nike,5741,24,4363.16,2855.08
279,Tea,Grocery,Tata,87,34,57.42,40.68
280,Face Wash,Beauty,Lakme,821,17,681.43,428.04
281,Face Wash,Beauty,Lakme,1479,14,1271.94,781.8
282,Cooking Oil,Grocery,Fortune,500,34,330.0,239.83
283,Shampoo,Beauty,L'Oreal,2253,22,1757.34,1134.34
284,Tea,Grocery,Tata,604,23,465.08,355.53
285,Tea,Grocery,Tata,650,29,461.5,294.72
286,HP Pavilion Laptop,Electronics,HP,82744,14,71159.84,53008.24
287,HP Pavilion Laptop,Electronics,HP,101042,35,65677.3,41108.48
288,Lipstick,Beauty,Lakme,2765,10,2488.5,1873.39
289,Shampoo,Beauty,L'Oreal,1514,5,1438.3,1122.18
290,Sports T-Shirt,Fashion,Nike,2141,35,1391.65,1039.11
291,Mixer Grinder,Home,Philips,8206,35,5333.9,3753.31
292,Galaxy S25,Electronics,Samsung,42929,33,28762.43,21810.42
293,Face Wash,Beauty,Lakme,1052,6,988.88,632.31
294,Atta,Grocery,Aashirvaad,587,28,422.64,326.73
295,Water Bottle,Home,Milton,10808,17,8970.64,5422.86
296,Tea,Grocery,Tata,297,17,246.51,154.68
297,Tea,Grocery,Tata,499,28,359.28,281.06
298,HP Pavilion Laptop,Electronics,HP,84948,27,62012.04,49240.41
299,AirPods Pro,Electronics,Apple,110185,26,81536.9,59112.27
300,Lipstick,Beauty,Lakme,545,23,419.65,262.01
301,Face Wash,Beauty,Lakme,2035,11,1811.15,1368.73
302,Water Bottle,Home,Milton,13611,30,9527.7,6761.4
303,Cookware Set,Home,Prestige,9324,17,7738.92,5102.25
304,AirPods Pro,Electronics,Apple,127471,22,99427.38,73377.62
305,Galaxy Tab,Electronics,Samsung,127772,32,86884.96,62580.15
306,Atta,Grocery,Aashirvaad,484,15,411.4,316.9
307,Lipstick,Beauty,Lakme,2655,7,2469.15,1683.62
308,Sneakers,Fashion,Adidas,2906,24,2208.56,1369.64
309,WH-1000XM5 Headphones,Electronics,Sony,41516,12,36534.08,23651.33
310,Slim Jeans,Fashion,Levis,1400,17,1162.0,813.11
311,Atta,Grocery,Aashirvaad,290,19,234.9,147.54
312,Shampoo,Beauty,L'Oreal,2911,23,2241.47,1642.09
313,Bravia TV,Electronics,Sony,59275,6,55718.5,38874.24
314,Shampoo,Beauty,L'Oreal,2655,6,2495.7,1814.28
315,Sneakers,Fashion,Adidas,5743,5,5455.85,4317.05
316,Cookware Set,Home,Prestige,14483,22,11296.74,7221.81
317,Slim Jeans,Fashion,Levis,3904,12,3435.52,2609.27
318,Galaxy S25,Electronics,Samsung,138202,21,109179.58,84195.24
319,Slim Jeans,Fashion,Levis,1042,31,718.98,523.71
320,Face Wash,Beauty,Lakme,1849,8,1701.08,1070.49
321,Shampoo,Beauty,L'Oreal,879,11,782.31,499.1
322,HP Pavilion Laptop,Electronics,HP,60212,6,56599.28,40064.93
323,Tea,Grocery,Tata,745,29,528.95,388.67
324,Mixer Grinder,Home,Philips,1931,14,1660.66,1297.0
325,Slim Jeans,Fashion,Levis,3364,11,2993.96,2391.13
326,Atta,Grocery,Aashirvaad,106,10,95.4,66.0
327,Mixer Grinder,Home,Philips,8508,22,6636.24,5233.02
328,Slim Jeans,Fashion,Levis,2510,9,2284.1,1470.59
329,Shampoo,Beauty,L'Oreal,2909,9,2647.19,1989.67
330,Slim Jeans,Fashion,Levis,4411,26,3264.14,2284.48
331,HP Pavilion Laptop,Electronics,HP,37302,28,26857.44,17587.69
332,Track Pants,Fashion,Adidas,3474,25,2605.5,1788.31
333,Mixer Grinder,Home,Philips,7448,9,6777.68,4158.19
334,Face Wash,Beauty,Lakme,1095,32,744.6,493.38
335,Sports T-Shirt,Fashion,Nike,2034,7,1891.62,1478.07
336,Cookware Set,Home,Prestige,2499,32,1699.32,1109.15
337,AirPods Pro,Electronics,Apple,110164,35,71606.6,47018.6
338,Lipstick,Beauty,Lakme,301,26,222.74,159.16
339,Galaxy Tab,Electronics,Samsung,74467,16,62552.28,39088.06
340,WH-1000XM5 Headphones,Electronics,Sony,95194,12,83770.72,63379.8
341,Galaxy S25,Electronics,Samsung,142109,26,105160.66,73001.6
342,Atta,Grocery,Aashirvaad,690,12,607.2,384.91
343,Slim Jeans,Fashion,Levis,4113,19,3331.53,2558.3
344,Tea,Grocery,Tata,258,32,175.44,115.73
345,Sneakers,Fashion,Adidas,4565,6,4291.1,2679.16
346,Lipstick,Beauty,Lakme,694,16,582.96,393.4
347,Face Wash,Beauty,Lakme,2490,23,1917.3,1387.71
348,HP Pavilion Laptop,Electronics,HP,61495,5,58420.25,43926.27
349,Mixer Grinder,Home,Philips,5557,29,3945.47,3111.34
350,AirPods Pro,Electronics,Apple,55540,33,37211.8,28768.49
351,Sneakers,Fashion,Adidas,908,23,699.16,513.25
352,HP Pavilion Laptop,Electronics,HP,20721,27,15126.33,11457.85
353,Cooking Oil,Grocery,Fortune,323,35,209.95,143.54
354,Cooking Oil,Grocery,Fortune,573,5,544.35,347.7
355,Atta,Grocery,Aashirvaad,496,30,347.2,224.49
356,Atta,Grocery,Aashirvaad,606,12,533.28,359.05
357,Water Bottle,Home,Milton,9377,15,7970.45,5483.4
358,Mixer Grinder,Home,Philips,7750,8,7130.0,4733.99
359,Water Bottle,Home,Milton,4640,12,4083.2,2574.53
360,Serum,Beauty,L'Oreal,1153,8,1060.76,808.3
361,WH-1000XM5 Headphones,Electronics,Sony,8511,23,6553.47,4740.17
362,Sneakers,Fashion,Adidas,2560,11,2278.4,1390.75
363,Sneakers,Fashion,Adidas,659,31,454.71,298.54
364,Sneakers,Fashion,Adidas,1412,30,988.4,773.05
365,Sports T-Shirt,Fashion,Nike,2198,22,1714.44,1066.49
366,HP Pavilion Laptop,Electronics,HP,61923,27,45203.79,32775.46
367,Shampoo,Beauty,L'Oreal,1601,26,1184.74,749.33
368,Tea,Grocery,Tata,835,20,668.0,518.33
369,Slim Jeans,Fashion,Levis,2055,8,1890.6,1419.9
370,Cooking Oil,Grocery,Fortune,909,21,718.11,445.55
371,Tea,Grocery,Tata,709,32,482.12,340.78
372,HP Pavilion Laptop,Electronics,HP,83790,12,73735.2,45464.08
373,WH-1000XM5 Headphones,Electronics,Sony,63622,13,55351.14,37577.75
374,Tea,Grocery,Tata,774,19,626.94,418.76
375,Tea,Grocery,Tata,112,7,104.16,82.99
376,Lipstick,Beauty,Lakme,2909,25,2181.75,1524.22
377,Tea,Grocery,Tata,433,20,346.4,239.38
378,Running Shoes,Fashion,Nike,3130,27,2284.9,1478.02
379,Tea,Grocery,Tata,617,23,475.09,326.11
380,Sneakers,Fashion,Adidas,4962,10,4465.8,2707.88
381,Cooking Oil,Grocery,Fortune,472,19,382.32,282.61
382,Slim Jeans,Fashion,Levis,5841,13,5081.67,3790.47
383,Bravia TV,Electronics,Sony,8546,35,5554.9,4016.9
384,Slim Jeans,Fashion,Levis,961,30,672.7,463.44
385,Water Bottle,Home,Milton,1346,35,874.9,596.58
386,Sneakers,Fashion,Adidas,2617,35,1701.05,1323.26
387,Mixer Grinder,Home,Philips,8209,13,7141.83,4805.98
388,Mixer Grinder,Home,Philips,2878,12,2532.64,1818.87
389,Face Wash,Beauty,Lakme,2969,16,2493.96,1832.69
390,Serum,Beauty,L'Oreal,1587,34,1047.42,721.47
391,Atta,Grocery,Aashirvaad,216,31,149.04,114.84
392,MacBook Air M3,Electronics,Apple,117937,31,81376.53,54044.41
393,Shampoo,Beauty,L'Oreal,399,28,287.28,210.52
394,HP Pavilion Laptop,Electronics,HP,60221,25,45165.75,35102.22
395,Slim Jeans,Fashion,Levis,1793,33,1201.31,879.79
396,HP Pavilion Laptop,Electronics,HP,64257,12,56546.16,37908.39
397,Sneakers,Fashion,Adidas,2097,22,1635.66,1079.43
398,Atta,Grocery,Aashirvaad,754,9,686.14,486.44
399,AirPods Pro,Electronics,Apple,131597,7,122385.21,74329.1
400,Sneakers,Fashion,Adidas,1500,22,1170.0,802.89
401,Atta,Grocery,Aashirvaad,648,26,479.52,355.24
402,Shampoo,Beauty,L'Oreal,1334,25,1000.5,666.97
403,Cookware Set,Home,Prestige,2689,31,1855.41,1320.56
404,Galaxy Buds,Electronics,Samsung,76908,29,54604.68,33441.0
405,Shampoo,Beauty,L'Oreal,1230,32,836.4,604.44
406,Galaxy S25,Electronics,Samsung,128943,12,113469.84,71028.2
407,Sneakers,Fashion,Adidas,5144,34,3395.04,2260.16
408,Cooking Oil,Grocery,Fortune,243,31,167.67,108.86
409,Face Wash,Beauty,Lakme,2520,29,1789.2,1340.96
410,Slim Jeans,Fashion,Levis,2491,35,1619.15,1035.15
411,Cookware Set,Home,Prestige,3850,26,2849.0,2084.5
412,Face Wash,Beauty,Lakme,2450,10,2205.0,1593.13
413,Tea,Grocery,Tata,632,28,455.04,318.87
414,Face Wash,Beauty,Lakme,2719,15,2311.15,1417.61
415,Serum,Beauty,L'Oreal,1323,17,1098.09,724.96
416,Sneakers,Fashion,Adidas,928,6,872.32,595.81
417,Water Bottle,Home,Milton,1125,13,978.75,744.78
418,Mixer Grinder,Home,Philips,14175,9,12899.25,9107.99
419,Bravia TV,Electronics,Sony,44936,24,34151.36,22482.0
420,Serum,Beauty,L'Oreal,1078,11,959.42,697.61
421,Water Bottle,Home,Milton,8860,5,8417.0,6615.4
422,Mixer Grinder,Home,Philips,4493,31,3100.17,1865.58
423,Water Bottle,Home,Milton,4929,23,3795.33,2359.53
424,HP Pavilion Laptop,Electronics,HP,13595,30,9516.5,6341.29
425,Tea,Grocery,Tata,271,8,249.32,150.61
